ID,Insects,Crop,Soil,Category_of_Toxicant,Does_count,Number_of_Weeks_Used,Number_Weeks_does_not used,Season,Crop_status
78,489,Food,silt,3,25,24,0,1,0
79,488,Food,silt,3,60,32,0,1,1
80,531,Food,clay,3,5,27,0,1,0
81,531,Food,clay,3,20,,0,1,0
82,531,Food,clay,3,50,30,0,2,0
83,531,Food,clay,3,20,34,0,1,1
84,531,Food,silt,3,5,17,0,1,0
85,531,Food,silt,3,20,33,0,1,0
86,531,Food,silt,3,60,19,0,2,0
87,577,Food,clay,3,20,33,0,2,0
88,577,Food,clay,3,50,33,0,3,0
89,577,Food,silt,3,30,29,0,2,0
90,577,Food,silt,3,30,39,0,1,0
91,577,Food,silt,3,55,33,0,1,0
92,577,Food,silt,3,60,29,0,1,0
93,577,Food,silt,3,15,34,0,2,1
94,626,Food,clay,3,20,38,0,2,0
95,625,Food,clay,3,30,42,0,3,0
96,625,Food,clay,3,40,15,0,1,0
97,625,Food,clay,3,50,40,0,2,0
98,626,Food,silt,3,5,32,0,1,0
99,625,Food,silt,3,20,23,0,3,0
100,625,Food,silt,3,25,32,0,3,0
101,626,Food,silt,3,80,32,0,2,0
102,626,Food,silt,3,20,31,0,2,1
103,625,Food,silt,3,10,33,0,2,1
104,625,Food,silt,3,30,29,0,1,2
105,677,Food,clay,3,15,41,0,3,0
106,677,Food,clay,3,20,41,0,2,0
107,677,Food,clay,3,50,35,0,2,1
108,677,Food,silt,3,35,25,0,2,0
109,677,Food,silt,3,40,31,0,2,0
110,677,Food,silt,3,50,38,0,2,0
111,732,Food,clay,3,20,36,0,2,1
112,732,Food,clay,3,40,31,0,2,1
113,732,Food,clay,3,50,30,0,2,2
114,731,Food,silt,3,10,16,0,3,0
115,731,Food,silt,3,10,34,0,1,0
116,731,Food,silt,3,60,40,0,2,0
117,732,Food,silt,3,30,36,0,3,1
118,789,Food,clay,3,40,44,0,3,0
119,789,Food,clay,3,50,30,0,2,0
120,790,Food,clay,3,60,40,0,2,0
121,789,Food,clay,3,25,34,0,1,1
122,790,Food,clay,3,20,33,0,2,1
123,789,Food,clay,3,60,40,0,1,1
124,789,Food,silt,3,25,27,0,2,0
125,790,Food,silt,3,40,28,0,1,0
126,789,Food,silt,3,30,30,0,1,1
127,789,Food,silt,3,20,25,0,2,1
128,851,Food,clay,3,20,32,0,3,0
129,851,Food,clay,3,20,34,0,3,0
130,851,Food,clay,3,25,42,0,2,0
131,851,Food,clay,3,60,42,0,1,1
132,851,Food,silt,3,15,27,0,3,0
133,851,Food,silt,3,20,21,0,1,0
134,851,Food,silt,3,20,31,0,2,0
135,851,Food,silt,3,30,,0,1,0
136,850,Food,silt,3,50,,0,2,0
137,851,Food,silt,3,55,36,0,2,0
138,851,Food,silt,3,30,35,0,2,1
139,851,Food,silt,3,20,34,0,1,1
140,915,Food,clay,3,50,41,0,3,0
141,915,Food,clay,3,40,37,0,3,1
142,915,Food,clay,3,20,37,0,1,1
143,916,Food,silt,3,20,25,0,1,0
144,915,Food,silt,3,30,29,0,3,0
145,915,Food,silt,3,40,34,0,1,0
146,915,Food,silt,3,40,41,0,2,0
147,915,Food,silt,3,60,46,0,2,0
148,984,Food,clay,3,25,30,0,2,0
149,984,Food,clay,3,25,44,0,2,1
150,984,Food,clay,3,40,38,0,2,2
151,984,Food,silt,3,20,28,0,2,0
152,984,Food,silt,3,25,35,0,2,0
153,984,Food,silt,3,30,24,0,1,0
154,1056,Food,clay,3,20,27,0,3,0
155,1056,Food,clay,3,40,41,0,1,1
156,1056,Food,clay,3,40,35,0,2,1
157,1056,Food,silt,3,10,29,0,2,0
158,1056,Food,silt,3,25,45,0,2,0
159,1056,Food,silt,3,30,46,0,2,0
160,1056,Food,silt,3,35,30,0,2,0
161,1056,Food,silt,3,50,,0,2,0
162,1056,Food,silt,3,60,45,0,1,0
163,1056,Food,silt,3,15,35,0,2,1
164,1056,Food,silt,3,50,47,0,2,1
165,1056,Food,silt,3,30,47,0,3,1
166,1056,Food,silt,3,10,42,0,3,2
167,1056,Food,silt,3,20,40,0,3,2
168,1056,Food,silt,3,30,27,0,2,2
169,1132,Food,clay,3,5,41,0,2,0
170,1132,Food,clay,3,5,,0,2,0
171,1132,Food,clay,3,10,44,0,2,0
172,1132,Food,clay,3,20,28,0,2,0
173,1132,Food,clay,3,25,39,0,2,0
174,1132,Food,clay,3,30,25,0,2,0
175,1132,Food,clay,3,30,44,0,3,0
176,1132,Food,clay,3,50,37,0,2,0
177,1132,Food,clay,3,40,38,0,2,1
178,1132,Food,clay,3,40,36,0,3,1
179,1132,Food,clay,3,20,46,0,1,1
180,1132,Food,clay,3,40,45,0,1,2
181,1132,Food,silt,3,5,30,0,1,0
182,1132,Food,silt,3,20,17,0,1,0
183,1132,Food,silt,3,20,37,0,3,0
184,1132,Food,silt,3,25,29,0,3,0
185,1132,Food,silt,3,30,33,0,2,0
186,1132,Food,silt,3,80,38,0,2,0
187,1132,Food,silt,3,30,43,0,2,2
188,1212,Food,clay,3,5,42,0,2,0
189,1212,Food,clay,3,20,50,0,2,0
190,1212,Food,clay,3,35,39,0,1,0
191,1212,Food,clay,3,10,10,0,1,1
192,1212,Food,clay,3,20,45,0,3,1
193,1212,Food,clay,3,40,19,0,1,1
194,1212,Food,clay,3,40,46,0,3,1
195,1212,Food,clay,3,40,46,0,2,1
196,1212,Food,clay,3,40,45,0,3,1
197,1212,Food,clay,3,50,43,0,2,1
198,1212,Food,clay,3,20,42,0,3,2
199,1212,Food,silt,3,5,37,0,2,0
200,1212,Food,silt,3,20,24,0,2,0
201,1212,Food,silt,3,30,36,0,3,0
202,1212,Food,silt,3,45,39,0,2,0
203,1212,Food,silt,3,50,44,0,2,0
204,1212,Food,silt,3,50,47,0,1,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,1212,Food,silt,3,30,44,0,2,2
2,1296,Food,clay,3,20,43,0,2,0
3,1297,Food,clay,3,45,43,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,1296,Food,silt,3,35,39,0,3,0
2,1296,Food,silt,3,40,,0,2,0
,,,,,,,,,
1,1385,Food,clay,3,15,31,0,2,0
2,1385,Food,clay,3,25,30,0,2,0
3,1385,Food,clay,3,25,46,0,3,0
4,1385,Food,clay,3,30,43,0,1,0
5,1385,Food,clay,3,40,30,0,2,0
6,1385,Food,clay,3,10,45,0,2,2
7,1385,Food,clay,3,40,45,0,3,2
8,1385,Food,silt,3,5,42,0,3,0
9,1385,Food,silt,3,10,30,0,2,0
10,1385,Food,silt,3,10,40,0,2,0
11,1385,Food,silt,3,25,32,0,2,0
12,1385,Food,silt,3,30,49,0,1,0
13,1385,Food,silt,3,35,35,0,3,0
14,1385,Food,silt,3,50,47,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,1478,Food,clay,3,10,25,0,1,0
2,1478,Food,clay,3,15,53,0,1,0
3,1478,Food,clay,3,20,46,0,1,0
4,1478,Food,clay,3,40,24,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,1478,Food,clay,3,30,47,0,3,2
2,1478,Food,silt,3,5,44,0,2,0
3,1478,Food,silt,3,20,19,0,3,0
4,1478,Food,silt,3,30,51,0,1,0
5,1478,Food,silt,3,60,45,0,2,0
6,1478,Food,silt,3,60,50,0,1,0
7,1478,Food,silt,3,20,41,0,2,2
8,1576,Food,clay,3,15,41,0,2,0
9,1576,Food,clay,3,30,,0,2,0
10,1576,Food,clay,3,50,,0,2,0
11,1576,Food,clay,3,80,38,0,3,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,1575,Food,silt,3,5,36,0,3,0
2,1576,Food,silt,3,10,37,0,1,0
3,1576,Food,silt,3,30,41,0,2,0
4,1576,Food,silt,3,60,45,0,2,0
,,,,,,,,,
1,1678,Food,clay,3,10,50,0,2,0
,,,,,,,,,
,,,,,,,,,
1,1678,Food,clay,3,50,39,0,2,2
2,1678,Food,clay,3,5,44,0,2,2
3,1678,Food,silt,3,5,41,0,3,0
4,1678,Food,silt,3,10,45,0,1,0
5,1678,Food,silt,3,15,42,0,2,0
6,1678,Food,silt,3,20,44,0,3,0
,,,,,,,,,
1,1785,Food,clay,3,10,20,0,1,0
2,1786,Food,clay,3,50,47,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,1786,Food,silt,3,15,36,0,2,0
2,1785,Food,silt,3,40,30,0,1,0
3,1785,Food,silt,3,40,51,0,1,0
4,1785,Food,silt,3,40,53,0,2,0
5,1786,Food,silt,3,45,34,0,2,0
,,,,,,,,,
,,,,,,,,,
1,1898,Food,clay,3,15,49,0,3,0
2,1898,Food,clay,3,30,51,0,2,0
3,1898,Food,clay,3,35,54,0,3,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,1898,Food,clay,3,30,50,0,2,2
2,1898,Food,silt,3,5,50,0,1,0
3,1898,Food,silt,3,10,45,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,1898,Food,silt,3,25,41,0,1,2
2,2015,Food,clay,3,15,38,0,2,0
3,2015,Food,clay,3,20,,0,3,0
4,2015,Food,clay,3,50,,0,2,0
5,2015,Food,clay,3,60,53,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,2016,Food,clay,3,60,54,0,2,2
2,2015,Food,silt,3,60,41,0,1,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,2139,Food,clay,3,40,,0,1,0
,,,,,,,,,
,,,,,,,,,
1,2138,Food,clay,3,20,56,0,1,2
2,2139,Food,silt,3,20,20,0,1,0
,,,,,,,,,
1,2267,Food,clay,3,10,53,0,1,0
2,2267,Food,clay,3,20,25,0,3,0
3,2267,Food,clay,3,20,46,0,2,0
4,2267,Food,clay,3,20,54,0,2,0
5,2267,Food,clay,3,20,61,0,2,0
6,2267,Food,clay,3,40,48,0,2,0
7,2267,Food,clay,3,90,55,0,1,0
8,2267,Food,silt,3,15,,0,1,0
,,,,,,,,,
1,2402,Food,clay,3,5,54,0,2,0
2,2401,Food,clay,3,15,,0,2,0
3,2401,Food,clay,3,20,35,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,2401,Food,silt,3,5,52,0,2,0
2,2401,Food,silt,3,15,18,0,2,0
3,2402,Food,silt,3,20,44,0,2,0
4,2402,Food,silt,3,40,56,0,2,0
5,2542,Food,clay,3,10,57,0,2,0
6,2541,Food,clay,3,15,,0,1,0
7,2542,Food,clay,3,40,57,0,2,0
,,,,,,,,,
1,2541,Food,silt,3,5,30,0,2,0
2,2541,Food,silt,3,30,53,0,1,0
3,2542,Food,silt,3,80,56,0,1,0
,,,,,,,,,
,,,,,,,,,
1,2688,Food,clay,3,30,62,0,2,0
,,,,,,,,,
1,2688,Food,clay,3,20,54,0,2,2
2,2687,Food,silt,3,30,60,0,2,0
,,,,,,,,,
,,,,,,,,,
1,2688,Food,silt,3,40,51,0,2,2
2,2840,Food,clay,3,10,57,0,2,0
3,2840,Food,clay,3,15,55,0,1,0
4,2840,Food,clay,3,30,63,0,1,0
,,,,,,,,,
,,,,,,,,,
1,2840,Food,clay,3,30,60,0,1,2
2,2840,Food,silt,3,10,46,0,1,0
,,,,,,,,,
,,,,,,,,,
1,2999,Food,silt,3,15,49,0,2,0
2,2999,Food,silt,3,20,44,0,3,0
,,,,,,,,,
1,3164,Food,clay,3,5,54,0,1,0
2,3165,Food,clay,3,20,62,0,3,0
3,3165,Food,clay,3,30,57,0,1,0
,,,,,,,,,
1,3164,Food,silt,3,55,60,0,2,0
,,,,,,,,,
1,3337,Food,clay,3,20,62,0,3,2
2,3337,Food,silt,3,10,66,0,2,0
3,3337,Food,silt,3,20,63,0,3,0
4,3337,Food,silt,3,15,60,0,3,2
5,3516,Food,clay,3,20,50,0,2,0
6,3516,Food,clay,3,30,55,0,2,0
,,,,,,,,,
1,3702,Food,clay,3,10,60,0,3,0
2,3702,Food,clay,3,15,64,0,2,0
,,,,,,,,,
1,3896,Food,clay,3,20,61,0,1,0
2,151,Feed,clay,3,20,25,0,1,0
3,150,Feed,clay,3,30,13,0,2,0
4,151,Feed,clay,3,60,15,0,2,0
5,150,Feed,silt,3,5,13,0,1,0
6,150,Feed,silt,3,20,10,0,3,0
7,150,Feed,silt,3,40,21,0,1,0
8,169,Feed,silt,3,10,21,0,2,0
9,168,Feed,silt,3,20,7,0,3,0
10,188,Feed,silt,3,20,22,0,3,0
11,188,Feed,silt,3,35,25,0,2,0
12,188,Feed,silt,3,40,26,0,3,0
13,188,Feed,silt,3,60,19,0,3,0
14,209,Feed,clay,3,20,17,0,2,0
15,209,Feed,clay,3,30,18,0,2,0
16,209,Feed,clay,3,40,24,0,2,0
17,209,Feed,silt,3,55,21,0,2,0
18,232,Feed,clay,3,30,19,0,3,0
19,232,Feed,clay,3,30,21,0,1,0
20,232,Feed,clay,3,35,22,0,1,0
21,232,Feed,silt,3,5,5,0,1,0
22,232,Feed,silt,3,20,13,0,1,0
23,231,Feed,silt,3,25,20,0,2,0
24,257,Feed,clay,3,15,15,0,3,0
25,283,Feed,silt,3,10,15,0,1,0
26,283,Feed,silt,3,10,,0,2,0
27,283,Feed,silt,3,20,24,0,2,0
28,283,Feed,silt,3,25,25,0,1,0
29,283,Feed,silt,3,40,19,0,2,0
30,312,Feed,silt,3,5,15,0,3,0
31,311,Feed,silt,3,5,28,0,3,0
32,312,Feed,silt,3,15,25,0,2,0
33,311,Feed,silt,3,20,24,0,2,0
34,311,Feed,silt,3,20,27,0,2,0
35,312,Feed,silt,3,30,18,0,1,0
36,311,Feed,silt,3,45,18,0,2,0
37,312,Feed,silt,3,60,29,0,3,0
38,342,Feed,clay,3,5,23,0,2,0
39,342,Feed,clay,3,40,20,0,1,0
40,342,Feed,clay,3,50,17,0,1,0
41,342,Feed,silt,3,10,30,0,3,0
42,342,Feed,silt,3,20,10,0,2,0
,,,,,,,,,
1,375,Feed,clay,3,15,15,0,2,0
2,375,Feed,clay,3,15,,0,2,0
3,375,Feed,clay,3,30,26,0,3,0
4,375,Feed,clay,3,35,24,0,2,0
5,375,Feed,clay,3,35,29,0,3,0
6,375,Feed,clay,3,55,25,0,2,0
7,375,Feed,silt,3,20,13,0,1,0
8,375,Feed,silt,3,25,29,0,2,0
9,411,Feed,clay,3,25,33,0,2,0
10,410,Feed,clay,3,30,28,0,2,0
,,,,,,,,,
1,410,Feed,silt,3,5,27,0,2,0
2,448,Feed,clay,3,5,22,0,3,0
3,448,Feed,clay,3,5,26,0,2,0
4,448,Feed,clay,3,10,,0,2,0
5,448,Feed,clay,3,20,12,0,1,0
6,448,Feed,clay,3,20,13,0,2,0
7,448,Feed,clay,3,20,34,0,3,0
8,448,Feed,clay,3,40,34,0,3,0
9,448,Feed,silt,3,50,,0,3,0
,,,,,,,,,
1,488,Feed,clay,3,25,28,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,488,Feed,clay,3,40,18,0,1,2
2,488,Feed,silt,3,25,,0,2,0
3,488,Feed,silt,3,25,33,0,2,0
4,488,Feed,silt,3,40,17,0,2,0
5,488,Feed,silt,3,40,37,0,3,0
6,488,Feed,silt,3,40,30,0,3,2
7,531,Feed,clay,3,15,14,0,2,0
8,531,Feed,clay,3,35,29,0,2,0
9,531,Feed,clay,3,50,33,0,3,0
10,531,Feed,silt,3,30,23,0,1,0
11,577,Feed,clay,3,10,29,0,2,0
12,577,Feed,clay,3,35,32,0,2,0
,,,,,,,,,
1,577,Feed,clay,3,20,31,0,3,2
2,577,Feed,silt,3,5,,0,2,0
3,577,Feed,silt,3,20,,0,2,0
,,,,,,,,,
1,625,Feed,clay,3,5,10,0,1,0
2,626,Feed,silt,3,40,31,0,1,0
3,625,Feed,silt,3,40,,0,1,0
4,677,Feed,clay,3,30,21,0,3,0
,,,,,,,,,
1,677,Feed,silt,3,5,35,0,2,0
2,677,Feed,silt,3,15,35,0,2,0
3,677,Feed,silt,3,30,18,0,3,0
4,677,Feed,silt,3,30,25,0,3,0
5,677,Feed,silt,3,45,25,0,2,0
6,677,Feed,silt,3,30,32,0,3,2
7,732,Feed,clay,3,5,18,0,3,0
8,731,Feed,clay,3,5,37,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,731,Feed,silt,3,30,19,0,2,0
2,731,Feed,silt,3,35,36,0,3,0
3,732,Feed,silt,3,60,30,0,2,0
4,789,Feed,clay,3,10,22,0,2,0
5,790,Feed,clay,3,10,37,0,1,0
6,789,Feed,clay,3,25,31,0,1,0
7,789,Feed,clay,3,40,26,0,2,0
,,,,,,,,,
1,790,Feed,silt,3,10,29,0,2,0
2,789,Feed,silt,3,30,36,0,1,0
3,789,Feed,silt,3,45,34,0,3,0
4,790,Feed,silt,3,60,35,0,1,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,851,Feed,clay,3,10,16,0,2,0
2,851,Feed,clay,3,20,24,0,2,0
3,851,Feed,clay,3,20,,0,3,0
4,851,Feed,clay,3,40,37,0,2,0
5,851,Feed,silt,3,10,5,0,2,0
6,851,Feed,silt,3,15,15,0,2,0
7,850,Feed,silt,3,15,27,0,3,0
8,851,Feed,silt,3,20,22,0,2,0
9,851,Feed,silt,3,25,38,0,2,0
10,851,Feed,silt,3,20,24,0,2,2
11,915,Feed,clay,3,5,,0,2,0
12,915,Feed,clay,3,10,22,0,2,0
13,916,Feed,clay,3,60,31,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,915,Feed,clay,3,30,40,0,1,2
2,915,Feed,silt,3,15,39,0,3,0
3,915,Feed,silt,3,20,8,0,3,0
4,915,Feed,silt,3,40,40,0,2,0
,,,,,,,,,
1,915,Feed,silt,3,20,34,0,2,2
2,984,Feed,clay,3,5,8,0,2,0
3,984,Feed,clay,3,20,7,0,2,0
4,984,Feed,clay,3,20,9,0,1,0
5,984,Feed,clay,3,35,,0,1,0
6,984,Feed,clay,3,35,43,0,1,0
7,984,Feed,silt,3,10,23,0,3,0
8,984,Feed,silt,3,10,38,0,2,0
9,984,Feed,silt,3,15,41,0,2,0
10,984,Feed,silt,3,25,17,0,3,0
11,984,Feed,silt,3,40,37,0,1,0
12,984,Feed,silt,3,50,31,0,3,0
13,1056,Feed,clay,3,30,41,0,1,0
14,1056,Feed,clay,3,40,35,0,3,0
15,1056,Feed,clay,3,45,37,0,1,0
,,,,,,,,,
1,1056,Feed,silt,3,5,31,0,2,0
2,1056,Feed,silt,3,15,,0,2,0
3,1056,Feed,silt,3,20,24,0,2,0
4,1056,Feed,silt,3,40,29,0,3,0
,,,,,,,,,
1,1132,Feed,clay,3,20,46,0,2,0
2,1132,Feed,clay,3,30,39,0,1,0
,,,,,,,,,
1,1132,Feed,silt,3,10,31,0,2,0
2,1132,Feed,silt,3,15,34,0,3,0
3,1132,Feed,silt,3,35,45,0,2,0
4,1212,Feed,clay,3,5,18,0,1,0
5,1212,Feed,clay,3,10,44,0,3,0
6,1212,Feed,clay,3,15,31,0,3,0
7,1212,Feed,clay,3,15,40,0,1,0
8,1212,Feed,clay,3,20,27,0,3,0
9,1212,Feed,clay,3,40,44,0,2,0
10,1212,Feed,clay,3,40,49,0,2,0
,,,,,,,,,
1,1212,Feed,clay,3,25,40,0,1,2
2,1212,Feed,silt,3,10,32,0,2,0
3,1212,Feed,silt,3,15,43,0,2,0
4,1212,Feed,silt,3,20,23,0,1,0
5,1212,Feed,silt,3,60,,0,2,0
,,,,,,,,,
,,,,,,,,,
1,1296,Feed,clay,3,5,,0,1,0
2,1296,Feed,clay,3,20,48,0,2,0
3,1296,Feed,clay,3,30,,0,3,0
4,1296,Feed,clay,3,30,35,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,1297,Feed,silt,3,10,35,0,1,0
2,1297,Feed,silt,3,15,34,0,1,0
,,,,,,,,,
,,,,,,,,,
1,1385,Feed,clay,3,15,21,0,2,0
2,1385,Feed,clay,3,15,28,0,1,0
3,1385,Feed,clay,3,15,36,0,3,0
4,1385,Feed,clay,3,20,37,0,2,0
5,1385,Feed,clay,3,25,40,0,2,0
6,1385,Feed,clay,3,30,,0,2,0
7,1385,Feed,clay,3,40,36,0,2,0
,,,,,,,,,
1,1385,Feed,silt,3,5,,0,1,0
2,1385,Feed,silt,3,10,46,0,2,0
3,1385,Feed,silt,3,20,25,0,1,0
4,1385,Feed,silt,3,30,47,0,3,0
5,1385,Feed,silt,3,50,36,0,1,0
,,,,,,,,,
1,1478,Feed,clay,3,20,34,0,2,0
2,1478,Feed,clay,3,25,14,0,3,0
3,1478,Feed,clay,3,40,19,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,1478,Feed,clay,3,20,,0,1,2
2,1478,Feed,silt,3,5,,0,1,0
3,1478,Feed,silt,3,10,47,0,1,0
4,1478,Feed,silt,3,30,25,0,2,0
5,1478,Feed,silt,3,30,,0,2,0
6,1478,Feed,silt,3,50,45,0,2,0
,,,,,,,,,
1,1576,Feed,clay,3,15,37,0,1,0
,,,,,,,,,
,,,,,,,,,
1,1576,Feed,silt,3,15,,0,2,0
2,1575,Feed,silt,3,15,38,0,3,0
3,1576,Feed,silt,3,20,47,0,1,0
4,1576,Feed,silt,3,40,42,0,1,0
5,1678,Feed,clay,3,25,43,0,2,0
,,,,,,,,,
,,,,,,,,,
1,1678,Feed,clay,3,25,48,0,2,2
2,1678,Feed,silt,3,15,43,0,2,0
3,1678,Feed,silt,3,40,40,0,3,0
4,1678,Feed,silt,3,40,47,0,2,0
,,,,,,,,,
1,1785,Feed,clay,3,5,16,0,2,0
2,1785,Feed,clay,3,10,,0,2,0
3,1785,Feed,clay,3,15,14,0,3,0
4,1786,Feed,clay,3,20,18,0,3,0
5,1785,Feed,clay,3,30,19,0,3,0
6,1785,Feed,clay,3,35,43,0,2,0
7,1786,Feed,clay,3,40,47,0,2,0
,,,,,,,,,
1,1786,Feed,silt,3,10,21,0,2,0
2,1786,Feed,silt,3,20,23,0,1,0
3,1786,Feed,silt,3,20,38,0,1,0
4,1785,Feed,silt,3,30,42,0,3,0
5,1785,Feed,silt,3,40,,0,3,0
,,,,,,,,,
1,1898,Feed,clay,3,25,49,0,3,0
,,,,,,,,,
,,,,,,,,,
1,1898,Feed,clay,3,20,50,0,3,2
2,1898,Feed,silt,3,5,33,0,1,0
3,1898,Feed,silt,3,15,26,0,2,0
4,1898,Feed,silt,3,15,35,0,1,0
5,1898,Feed,silt,3,20,14,0,2,0
6,1898,Feed,silt,3,40,42,0,2,0
7,2016,Feed,clay,3,5,17,0,1,0
8,2015,Feed,clay,3,10,34,0,1,0
9,2016,Feed,clay,3,20,27,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,2016,Feed,silt,3,5,48,0,2,0
2,2015,Feed,silt,3,30,40,0,1,0
,,,,,,,,,
1,2138,Feed,clay,3,30,29,0,2,0
,,,,,,,,,
,,,,,,,,,
1,2138,Feed,silt,3,5,45,0,1,0
2,2138,Feed,silt,3,10,32,0,1,0
3,2139,Feed,silt,3,15,29,0,2,0
4,2139,Feed,silt,3,20,50,0,3,0
5,2138,Feed,silt,3,25,55,0,2,0
6,2267,Feed,clay,3,10,49,0,1,0
7,2267,Feed,clay,3,20,49,0,1,0
8,2267,Feed,clay,3,40,51,0,2,0
,,,,,,,,,
,,,,,,,,,
1,2267,Feed,silt,3,5,20,0,1,0
2,2267,Feed,silt,3,10,48,0,1,0
3,2267,Feed,silt,3,20,49,0,3,0
4,2267,Feed,silt,3,25,37,0,2,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,2401,Feed,silt,3,20,51,0,2,0
,,,,,,,,,
1,2541,Feed,clay,3,5,55,0,1,0
2,2541,Feed,clay,3,10,54,0,3,0
3,2542,Feed,clay,3,20,20,0,2,0
4,2542,Feed,clay,3,20,45,0,1,0
5,2541,Feed,clay,3,20,49,0,2,0
,,,,,,,,,
